Tytuł,Data publikacji,Liczba wyświetleń,Liczba polubień,Liczba komentarzy,Tagi filmu,Kategorie filmu,Channel_id,Długość filmu,Informacje o lokalizacji,Rodzaj filmu,video_id
"24 Hours in INCREDIBLE KRAKOW, POLAND | First Impressions, Food, & MORE 🇵🇱",2023-09-03T14:00:35Z,142485,3054,280,"['Krakow', 'kraków', 'Krakow travel', 'Krakow Poland', 'things to do in Krakow', 'Krakow what to do', 'Krakau', 'Krakow must see', 'Krakow tourism', 'cracow', 'visit Krakow', 'visit Kraków', 'Sammy and Tommy Poland', '24 hours in Krakow', 'Poland Kraków', 'first impressions of Krakow', 'Poland safe', 'Americans in Poland', 'first time in Poland', 'Poland itinerary', 'travel Poland', 'travel Krakow', 'Poland', 'what to do in Krakow', 'Krakow vlog', 'Krakow old town', 'Krakow travel guide', 'kraków polska', 'Krakow first impressions']",19,UCd1DAfDaPdUbQQhqcQKfQJw,PT7M42S,"{'latitude': 50.0646501, 'longitude': 19.9449799, 'altitude': 0}",hd,oiS5cC1a7Lg
Why POLAND Is Your Next Epic Europe Trip | Lonely Planet's Best in Travel 2024,2023-10-24T18:57:55Z,7956,295,42,"['Lonely Planet', 'Travel', 'Tourism', 'Destination', 'Adventure', 'Discover', 'Lonely Planet travel videos', 'travel videos', 'Lonely Planet travel guides', 'travel guides', 'youtube travel', 'lonely planet tv', 'lonely planet uk', 'lonely planet logo', 'lonely planet books', 'travel videos youtube', 'best travel videos', 'free travel videos', 'best travel videos on youtube', 'short travel videos', 'destination videos', 'viral travel videos', 'best in travel', 'poland', 'europe', 'gdansk', 'warsaw', 'krakow']",19,UCPsil91i8gN0XLIbwl3vqsw,PT4M50S,"{'latitude': 51.919438, 'longitude': 19.145136, 'altitude': 0}",hd,UxVPPVbc2sM
"Poland ordered hundreds of HIMARS rocket launcher, more than the US. How will they use them?",2023-10-06T14:00:22Z,199386,6270,2543,"['Poland', 'USA', 'US Marines', 'HIMARS', 'HOMAR', 'HOMAR-k', 'South Korea', 'MLRS', 'Poland Army', 'US Army', 'Binkov']",25,UCPdk3JuQGxOCMlZLLt4drhw,PT12M26S,{},hd,bY1Xx2kYy8s
1670 | Oficjalny zwiastun | Netflix,2023-11-08T09:00:34Z,411131,8708,1144,"['1670', 'Bartłomiej Topa', 'netflixpl', 'szlachta', 'Katarzyna Herman', 'Martyna Byczkowska', 'Michał Sikorski', 'Michał Balicki', 'barok', 'chłopi']",24,UCwAiG5lj7w24SbgPy6eiYvg,PT2M23S,{},hd,gmn86IeFVic
10 Best Places to Visit in Poland - Travel Video,2021-01-21T13:50:02Z,1228840,15654,1005,"['poland', 'poland travel', 'poland tourism', 'Malbork', 'poznan', 'Bialowieza Forest', 'Auschwitz', 'Tatra National Park', 'Wroclaw', 'Gdansk', 'Wieliczka Salt Mine', 'Warsaw', 'Krakow']",19,UCh3Rpsdv1fxefE0ZcKBaNcQ,PT15M31S,{},hd,6KjOfVTX10Q
"This is a MUST DO in WARSAW, POLAND! First Impressions, Food, & Best Things to do 🇵🇱",2023-09-17T14:00:07Z,47293,1123,103,"['Poland vlog', 'Warsaw vlog', 'warszawa vlog', 'Warsaw Poland', 'polish food', 'visit Poland', 'Warsaw old town', 'things to do in Warsaw', '24 hours in Warsaw', 'Warsaw travel guide', 'old town Warsaw', 'what to do in Warsaw', 'Warsaw', 'warszawa', 'Warsaw travel', 'Poland Warsaw', 'first time in Warsaw', 'travel Warsaw', 'travel warszawa', 'warszawa polska', 'Warsaw first impressions', 'top things to do in Warsaw', 'sammy and Tommy Poland', 'Warsaw 4k', 'best things to do in Warsaw Poland', 'things to do in warszawa']",19,UCd1DAfDaPdUbQQhqcQKfQJw,PT16M54S,"{'latitude': 52.2296756, 'longitude': 21.0122287, 'altitude': 0}",hd,C1yS91iFLDc
Why Poland is Preparing for Full Scale War Against Russia,2023-01-29T20:15:00Z,2464036,37899,5732,[],27,UCfdNM3NAhaBOXCafH7krzrA,PT10M16S,{},hd,yhWdklv-Zhc
Cloud resilience and innovation lessons from Poland | Cloud Cultures,2023-06-19T15:00:07Z,215694,5381,393,[],28,UCFtEEv80fQVKkD4h1PF-Xqw,PT16M51S,{},hd,8k07pzpYOgo
Massive voter turnout in Poland appears to reject right-wing party; Halts authoritarian drift,2023-10-17T05:01:10Z,110621,1891,1061,['Rachel Maddow'],25,UCaXkIU1QidjPwiAYu6GcHjg,PT3M31S,{},hd,3RjB2prmcY4
"Poland's centrists win key election, signaling shift from nationalist rule: 'It's a huge moment'",2023-10-16T16:30:06Z,104396,2288,971,"['Joe Scarborough', 'Willie Geist', 'Morning Joe', 'Mika Brzezinski', 'MSNBC', 'MSNBC news', 'MSNBC live', 'MSNBC TV', 'news', 'breaking news', 'current events', 'US news', 'politics', 'politics news', 'political news', 'elections', 'morning joe full', 'morning joe live', 'morning joe today', 'Poland', 'Poland election', 'Poland communist party', 'Poland politics', 'foreign policy', 'world news']",25,UCaXkIU1QidjPwiAYu6GcHjg,PT5M46S,{},hd,K42AUQMMkgM
"Poland’s Duda on Ukraine, Elections, US and EU Ties",2023-09-19T22:09:41Z,89795,700,712,"['Andrzej Duda', 'Annmarie Hordern', 'Poland', 'Russia', 'Trade', 'Ukraine', 'Vladimir Putin', 'Volodymyr Zelenskiy', 'russia ukraine war', 'ukraine conflict']",25,UCIALMKvObZNtJ6AmdCLP7Lg,PT14M18S,{},hd,_QNV3yuVPsU
Poland getting spicy.,2023-07-23T16:42:19Z,911644,49203,3653,"['HLC', 'Habitual Linecrosser', 'Comedy', 'Military News', 'World Affairs', 'Armed Forces', 'Conflict Update', 'War Report', 'World Conflicts', 'Military Tech', 'Army Update', 'Navy News', 'Air Force Coverage', 'International Relations', 'Geopolitical Analysis', 'Defense Commentary', 'Military Alliances', 'Military History', 'Veteran', 'Special Operations', 'Combat', 'intercept me', 'news', 'geopolitcs']",20,UC6ysC3YUZbjScBKZlNLrmtQ,PT1M33S,{},sd,ftiioAvH3ug
12 Best Places To Visit In Poland | Poland Travel Guide,2023-02-25T16:30:03Z,36589,651,42,"['12 Best Places To Visit In Poland', 'Poland Travel Guide', 'poland', 'Poland Travel', 'Poland Tourism', 'Visit Poland', 'Poland Vacation', 'Poland Holiday', 'Travel Poland', 'Best Places Poland', 'Top Poland Destinations', 'Poland Tourist Attractions', 'best places to visit in Poland', 'Poland Landmarks', 'Discover Poland', 'Best places in Poland', 'Krakow travel', 'Warsaw travel', 'Tatra Mountains', 'Wawel Castle', 'Gdansk attractions', 'Zakopane', 'Polish culture', 'Poland tourism', 'europe', 'moscow', 'poland travel video']",19,UCDQ0pYBbR3rGWnn-BZJ9lXA,PT22M25S,"{'latitude': 51.919438, 'longitude': 19.145136, 'altitude': 0}",hd,OS7Atr4VwE8
The Polish Election Results are BAD NEWS for Hungary,2023-10-28T12:43:51Z,226396,6423,2421,[],25,UC8KFs307LrTkQCu-P1Fl6dw,PT6M46S,{},hd,qFYDxSQC5-g
Amerykanka Ocenia Polskę i Polaków,2023-06-17T08:00:21Z,118389,4756,1644,"['życie w usa', 'podróże', 'polacy w usa', 'polak o usa', 'polska czy usa', 'tomasz slowinski', 'podróże po usa', 'budowa kampera', 'kamping w usa', 'darmowe kampingi w ust', 'polska', 'wyjazd do polski', 'wracam do polski', 'amerykanie o Polsce', 'amerykanie oceniają Polaków', 'amerykanka ocenia Polskę', 'amerykanka o polakach', 'polska czy ust', 'polskie jedzenie', 'co obcokrajowcy myślą o Polsce', 'Wroclaw', 'warszawa', 'Krakow', 'zwiedzanie Wrocławia', 'pierwszy raz w Polsce', 'ocenianie polski', 'ocena polskiego jedzenia']",19,UCM54Wqxm2eppWP6VOHmyG6A,PT29M27S,{},hd,nGP8G9OEG4c
How This European Country is Quietly Becoming a Military Superpower,2023-10-25T19:15:00Z,762361,13691,1272,[],27,UCfdNM3NAhaBOXCafH7krzrA,PT18M58S,{},hd,tnB397AnbAE
Maja Krzyżewska - I Just Need A Friend | 🇵🇱 Poland | Official Music Video | Junior Eurovision 2023,2023-10-20T09:00:09Z,520757,12235,0,"['junior eurovision song contest', 'Jesc', 'Music', 'Yerevan', 'JESC2022', 'Armenia', 'Eurovision', 'Heroes', 'JESC2023', 'France', 'Nice']",24,UC-lkYjunAyfultKGuRJz6HQ,PT3M9S,{},hd,J-k0ulwCNkc
Ambassador: Poland bracing for ‘further provocations’ from Russia,2023-08-14T18:51:52Z,287548,3358,1477,"['latest news', 'Happening Now', 'CNN', 'Bianna Golodryga', 'Amanpour', 'Marek Magierowski', 'Polish Ambassador', 'Poland', 'Russia Ukraine War', ""Putin's War"", 'Vladimir Putin', 'Russia Invasion', 'Ukraine Counteroffensive', 'Belarus', 'Aleksandr Lukashenko', 'Polish Border', 'Wagner Group', 'Yevgeny Prigozhin', 'Eastern Europe', 'NATO', 'Poland Military', 'Russia Military']",25,UCupvZG-5ko_eiXAupbDfxWw,PT9M35S,{},hd,TOfAmLh6LYg
Visit Poland - The DON'Ts of Poland,2017-07-22T12:00:04Z,2941914,60104,8673,"['travel', 'europe', 'mark wolters', 'wolters world', 'advice', 'tourist', 'attractions', 'vlogger', 'Poland', 'Polish tourism', 'what to see in poland', 'what should i do in poland', ""what shouldn't i do in poland"", 'what not to do in poland']",19,UCFr3sz2t3bDp6Cux08B93KQ,PT7M5S,{},hd,zmHjuBvvZZw
"Poland Rediscovered: Kraków, Auschwitz, and Warsaw",2014-05-14T20:50:34Z,2261736,15800,1308,"['Kraków (City/Town/Village)', 'Kazimierz', 'Rick Steves (Author)', 'Auschwitz Concentration Camp (Film Subject)', 'Wawel Castle (Tourist Attraction)', 'Warsaw Uprising (Military Conflict)', 'Warsaw (City/Town/Village)', 'Jewish History (Literature Subject)', 'rick steves europe full episode', 'poland travel guide', 'poland travel video', 'krakow poland travel', 'krakow travel guide', 'wielicka salt mine', 'auschwitz tour', 'poland sightseeing', 'warsaw poland travel']",19,UCchgIh8Tc4sTmBfnMQ5pDdg,PT26M9S,{},hd,blg6CY4iYXI
Retired colonel explains why Wagner's move toward Poland will help Russia,2023-07-29T21:38:30Z,480378,4650,1711,"['Cedric Leighton', 'Russia', 'Ukraine', 'Wagner', 'NATO']",25,UCupvZG-5ko_eiXAupbDfxWw,PT2M6S,{},hd,XZCTrcOITW4
Is Wagner going to attack Poland?,2023-08-04T08:07:37Z,186999,17022,1516,"['greyzone warfare', 'liminal warfare']",25,UCPPfK7Nq_yQR84rn1wcTXBg,PT11M17S,{},hd,yIkufcRFEds
Wild Poland - Europe's Nature Reserve - Full Nature Documentary,2022-04-12T15:38:06Z,1059102,8307,547,"['Documentary', 'Doucmentaries', 'Documentary series', 'Full Documentary', 'Nature', 'science', 'history', 'biography', 'biographical documentary', 'historical documentary', 'wildlife', 'wildlife film', 'wildlife documentary', 'science documentary', 'nature documentary']",24,UCvD34fvRZ3QHWSkU1aUM99w,PT48M17S,{},hd,f03FRpps0VE
"Krakow Poland Christmas Market, 2023 4K  | Beautiful Polish Christmas market in a fantastic setting",2023-11-24T21:55:07Z,20736,485,63,"['krakow poland christmas market', 'kraków christmas market', 'must visit christmas market', 'main square krakow', 'krakow poland christmas market 2023', 'krakow in winter', 'christmas in polan', 'christmas in poland', 'europe christmas markets 2023', 'christmas in krakow', 'krakow in december', 'things to do in krakow', 'poland christmas market', 'krakow winter', 'things to do in poland', 'jarmark bożonarodzeniowy', 'jarmark bożonarodzeniowy kraków', 'The Writing Traveler', 'Nynke']",19,UCL9QCO5vimeOw2VLh3xdWQw,PT40M22S,{},hd,V2TDEzXBQHw
Poland's Military Build-Up. New bloc in Europe?,2023-07-05T18:08:56Z,315626,12270,2533,"['good times bad times', 'geopolitics', '20s report', 'poland', 'warsaw', 'polish arms program', 'polish army', 'polish military', 'polish army modernization', 'polish army development', 'polish army spending', 'polish army cooperation with korea', 'plan for technical modernization of polish army', 'F-35 in polish army', 'apache AH-64', 'Bayraktar', 'Himars', 'Borsuk', 'Rosomak', 'patriot system', 'polish history', 'polish economic development', 'late modernization of polish army', 'modernization of polish armed forces']",25,UCXW9oUSOwt7mcTT5d_5hQcA,PT28M,{},hd,6I6FczLXc5M
Warsaw By Night - Warszawa nocą z drona | Poland aerial 4K | POLAND ON AIR by Margas & Łogusz,2020-12-13T18:21:22Z,630266,11585,1930,"['warsaw by night', 'poland on air', 'warsaw', 'warszawa', 'warszawa z lotu ptaka', 'polska', 'poland', 'pkin', 'night', 'noc', 'skyline', 'wiezowce', 'aerial', 'varso', 'ujęcia lotnicze', 'blogusz', 'margas', 'logusz', 'warsaw on air', 'warsaw 4k', 'warszawa 4k', 'warszawa nocą', 'centrum warszawy', 'warszawa 2020', '2020', '4k', 'z lotu ptaka', 'dji', 'stadion narodowy', 'legia warszawa', 'filmy z drona', 'wieżowce', 'cyberpunk', 'cyberpunk 2020', 'praga', 'żoliborz', 'wilanów', 'varso tower', 'rondo daszynskiego', 'warsaw poland', 'warsaw poland 2020', 'warszawa nocą z drona']",19,UCeHvFc-vcuWf69VXizY2Cvg,PT4M59S,{},hd,veayhCb_W8M
Bij bolszewika! - (Polish Anti-Soviet Song),2018-09-17T02:00:03Z,4448179,81612,18209,"['Polska', 'Bolszewicy', 'ZSRR', 'II RP', 'Komuniści', 'Czerwone skurwysyny']",10,UCMDgEbDorYbcouC0xog_wjw,PT1M58S,{},hd,eQdiSpA8h60
History Summarized: Poland,2021-05-28T15:00:33Z,930426,45869,5325,"['Funny', 'Summary', 'OSP', 'Overly Sarcastic Productions', 'Analysis', 'Literary Analysis', 'Myths', 'Legends', 'Classics', 'Literature', 'Stories', 'Storytelling', 'History', 'Mythology', 'Poland', 'Polish', 'Lithuania', 'Lithuanian', 'Commonwealth', 'Europe', 'Eastern', 'Partition', 'Germany', 'Austria', 'Russia', 'WWII', 'Cold War', 'Church', 'Catholicism', 'Catholic']",27,UCodbH5mUeF-m_BsNueRDjcw,PT12M26S,{},hd,pJmSl148p_I
How Poland Stopped the Red Army in 1920,2023-03-24T16:30:00Z,653506,18758,2373,"['History', 'World War 1', 'WW1', 'First World War', 'Documentary', 'Documentary Series', 'The Great War', 'Indy Neidell', '1919', 'Interwar Period', '1920s', 'Educational', 'Russian Civil War', 'Revolution', 'Interbelum']",27,UCUcyEsEjhPEDf69RRVhRh4A,PT28M31S,{},hd,-EZO12D1RlQ
Poland says it won't send Ukraine weapons amid grain dispute; Russia launches more strikes,2023-09-21T13:45:52Z,235046,1161,1016,"['ukraine', 'grain', 'poland', 'kyiv', 'russia', 'weapons', 'air strikes']",25,UC8p1vwvWtl6T73JiExfWs1g,PT4M18S,{},hd,pLfwq7gmTA0
Jak zostałem joginem,2023-11-23T07:00:29Z,16075,1030,118,"['Vogule', 'Poland', 'gwiazdy', 'gwiazda', 'celebryci', 'celebrytka', 'celebryta', 'drama', 'afera', 'skandal', 'joga', 'yoga', 'podcast', 'podkast', 'co', 'myślisz']",24,UClCufEJK0FvBiMzOyZWV1ng,PT23M40S,{},hd,hhKPjTDn13s
Ukraine finds new sources of aid to fight Russia as politics with Poland gets complicated,2023-09-21T05:30:04Z,79423,1326,831,['Alex Wagner'],25,UCaXkIU1QidjPwiAYu6GcHjg,PT6M27S,{},hd,EoQvy4QAXVk
IPNtv: The Unconquered,2017-09-15T10:20:34Z,2662783,96223,13754,[],27,UC5G4MtGuS9o88U9DjOan3yA,PT4M21S,{},hd,Q88AkN1hNYM
How Poland Accidentally Invaded the Czech Republic,2020-07-07T16:22:53Z,1280328,56405,4715,"['poland', 'czech republic', 'accidental invasion', 'eu borders', 'borders', 'european union', 'schengen area', 'schengen zone']",27,UCuCkxoKLYO_EQ2GeFtbM_bw,PT5M56S,{},hd,EjOCNpTEZK4
Poland. Official trailer,2021-04-28T07:23:08Z,81721,712,30,[],19,UCUOztJ_mMWLAU30kuK5UVZA,PT1M33S,{},hd,FJcqzKFf5lI
Young Multi & Lil Yachty - Poland [BLEND by. @THMTS],2022-10-11T16:00:15Z,703399,27241,704,"['young multi', 'poland', 'multi', 'thmts', 'lil yachty', 'lil yachty poland', 'lil yachty wock', 'wock to poland', 'i took the wock to poland', 'young multi lil yachty', 'young multi poland', 'poland lil yachty', 'young multi thmts', 'thmts remix', 'poland sen', 'sen x poland', 's3n', 'poland yachty', 'yachty poland', 'multi poland', 'multi yachty', 'young multi tiktok remix', 'lil yachty young multi', 'young multi yachty', 'wock to poland instrumental', 'young multi trippie redd', 'blik yeah', 'lil yachty multi remix']",10,UCXgDn_UYyj1k3y5h03Q3gig,PT2M14S,{},hd,jo5alBCrGGg
[Vlog] 바르샤바의 길거리를 걸어보자🕺폴란드 브이로그 - ENHYPEN (엔하이픈),2023-06-23T10:00:02Z,1312845,118199,2958,"['BELIFTLAB', 'ENHYPEN', '엔하이픈']",22,UCArLZtok93cO5R9RI4_Y5Jw,PT16M48S,{},hd,i275zAnCZzQ
[KPOP IN PUBLIC | ONE TAKE] BLACKPINK 'Lovesick Girls' Dance Cover by KD CENTER from Poland,2023-11-03T16:00:09Z,114647,6331,291,"['BLACKPINK', 'Lovesick Girls', 'Blackpink dance', 'Blackpink dance cover', 'Lovesick girls dance', 'Blinks', 'Blackpink Lovesick Girls', 'Kpop in public', 'K-pop', 'Kpop dance', 'Kpop dance cover', 'Dance cover', 'Blackpink kpop dance', 'Lovesick girls dance cover', 'Viral', 'Blackpink choreography', 'Kpop in public challenge']",10,UC7VkcDZLLVr2h05JtuMclUg,PT3M46S,{},hd,nhG6r3Itcy0
"Lexy ZAORAŁA Sanah! ""Smutno mi…""",2023-11-20T17:00:04Z,90670,3624,393,"['Vogule', 'Poland', 'gwiazdy', 'gwiazda', 'celebryci', 'celebrytka', 'celebryta', 'drama', 'afera', 'skandal', 'prasówka', 'siostry', 'godlewskie', 'monika', 'miller', 'marta', 'linkiewicz', 'linki', 'master', 'caroline', 'derpienski', 'aneta', 'glam', 'kkp', 'karolina', 'korwin', 'piotrowska', 'richardson', 'tomasz', 'malcolm', 'paparazzi', 'sanah', 'lexy', 'chaplin', 'żabka', 'uczta', 'na', 'wynos', 'edward', 'miszczak', 'polsat', 'temptation', 'island', 'paulina', 'smaszcz', 'kurzopki', 'cichopki', 'kasia', 'katarzyna', 'cichopek', 'marcin', 'hakiel', 'tatuaże', 'maciej', 'kurzajewski', 'żony', 'warszawy']",24,UClCufEJK0FvBiMzOyZWV1ng,PT36M20S,{},hd,pTcmpwJi-g4
Top 10 Places To Visit In Poland - 4K Travel Guide,2021-05-28T14:30:01Z,480329,12102,1338,"['Poland', 'Poland Travel Guide', 'Poland 4k', 'Where to visit in Poland', 'Poland Travel', 'Top places in poland']",22,UCpbClyFMuJQJJH7skfiVeQg,PT8M24S,{},hd,FZb2uCgosdc
Poland Geography/Country of Poland,2017-03-31T15:20:59Z,1919273,37454,0,"['polandbananasbooks', 'polandbananas20', 'poland spring ph level', 'poland national anthem', 'poland second', 'poland history', 'poland documentary', 'poland', 'poland bananas', 'poland civ 6', 'poland city', 'poland got talent', 'poland music', 'kids learning tube', 'poland accent', 'poland and russia', 'poland geography now', 'poland geography problem', 'poland geography song', 'geography now poland reaction', 'poland/country of poland/poland geography', 'geography of poland', '10 facts about poland', 'polish music']",27,UC7EFWpvc1wYuUwrtZ_BLi9A,PT3M58S,{},hd,nMEL83QHuw0
I’m from Poland. Holland? | Po Cudzemu #1,2015-08-07T16:57:51Z,1279238,71024,1163,"['angielski', 'język', 'nauka', 'edukacja', 'lekcja', 'Po Cudzemu', 'Arlena Witt', 'wittamina', 'witamina', 'Arleta Witt', 'Arleta', 'Poland', 'Polska po angielsku']",27,UCIj6yjWVKPKO5zNLBjQ8Beg,PT4M7S,{},hd,2nG-kTU1xkk
She Served Me The Biggest Polish Hot Dog In a Car Park (Street Food),2023-11-23T10:04:13Z,67655,1993,269,"['Poland', 'Streetfood', 'Polishfood', 'Polishculture', 'Polishsausage', 'Polishshop', 'Polishlady', 'LondonPoles', 'Polishtraveller', 'Polishdocumentary', 'Polishlanguage', 'Polishfoodie', 'Polishtraditions', 'Polishbread', 'Polishbaguette', 'Polishbistro', 'Crawley', 'viral', 'foodie']",19,UCcKGEp__dU1XvwwuV7PrmoA,PT19M19S,{},hd,DuJw64s2GRU
How is POLAND 's Village Life ! Zakopane Travel Vlog,2023-08-16T04:22:06Z,52029,1236,97,"['poland travel', 'indian in poland', 'indian in poland vlog', 'zakopane poland', 'poland travel vlog', 'poland travel video', 'poland travel guide', 'zacopane vlog', 'poland hindi vlog', 'europe travel vlog']",22,UCCZrWLq1BlpxvIF9wwhv5Lg,PT20M41S,"{'latitude': 51.919438, 'longitude': 19.145136, 'altitude': 0}",hd,Ju5Mt-swELc
How Poland is leading efforts to help Ukraine,2023-02-08T16:30:16Z,1302272,23094,6111,"['Joe Scarborough', 'Willie Geist', 'Morning Joe', 'Mika Brzezinski', 'MSNBC', 'MSNBC news', 'MSNBC live', 'MSNBC TV', 'news', 'breaking news', 'current events', 'US news', 'politics', 'politics news', 'political news', 'elections', 'morning joe full', 'morning joe live', 'morning joe today', 'Poland', 'Ukraine', 'Ukraine war', 'Russia Ukraine war', 'Ukraine crisis', 'General Rajmund T. Andrzejczak', 'Poland army', 'Polish defense']",25,UCaXkIU1QidjPwiAYu6GcHjg,PT8M15S,{},hd,zOXaOd_h2hA
Poland's Pro-EU Bloc on Track to Win Election,2023-10-16T07:30:49Z,38180,190,265,"['Andrzej Duda', 'Donald Tusk', 'EU', 'European Union', 'Mateusz Morawiecki', 'Piotr Skolimowski', 'Poland', 'Poland government', 'Polish Zloty', 'election', 'government', 'opposition parties', 'opposition party']",25,UCIALMKvObZNtJ6AmdCLP7Lg,PT3M15S,{},hd,3kmJ0OIvQNE
Polish Jews of the Warsaw Ghetto | Colorized World War II,2023-11-27T22:00:22Z,46629,835,126,"['reportage', 'documentary', 'series', 'second world war', 'history', 'war', 'historical', 'hitler', 'germany', 'conflict', 'countdown to victory', 'europe', 'allies', 'yt:cc=on']",24,UCmOCpBKeoBPp-HwarhIBA2g,PT53M44S,{},hd,uL10Z_2V5hM
Ed Sheeran sprzedaje UŻYWANĄ BIELIZNĘ. Zainteresowana?,2023-11-22T17:14:50Z,28665,1640,90,"['Vogule', 'Poland', 'gwiazdy', 'gwiazda', 'celebryci', 'celebrytka', 'celebryta', 'drama', 'afera', 'skandal', 'cokolwiek', 'gacek', 'szczecin', 'ed', 'sheeran']",24,UClCufEJK0FvBiMzOyZWV1ng,PT11M,{},hd,BJphXt5GD9g
